  Title : 700nm1
  Version : 2 972 M
  Revision : 12 bits ADC
  Date : 2020-11-16
  Time : 17:27:24
  Author : Unknown
  Company : Unknown
  Contents :
  
*BLOCK 1 Decay  ( Time[ns]  No_of_photons )
11.097535 3
11.103642 2
11.109750 0
11.115857 3
11.121965 6
11.128073 3
11.134180 2
11.140288 5
11.146396 1
11.152503 3
11.158611 2
11.164718 5
11.170826 2
11.176934 3
11.183041 3
11.189149 1
11.195256 4
11.201364 0
11.207472 4
11.213579 1
11.219687 6
11.225794 5
11.231902 3
11.238010 3
11.244117 3
11.250225 5
11.256333 2
11.262440 6
11.268548 2
11.274655 8
11.280763 3
11.286871 4
11.292978 5
11.299086 4
11.305193 2
11.311301 4
11.317409 2
11.323516 2
11.329624 4
11.335732 0
11.341839 5
11.347947 4
11.354054 4
11.360162 3
11.366270 5
11.372377 3
11.378485 3
11.384592 5
11.390700 0
11.396808 4
11.402915 2
11.409023 3
11.415131 3
11.421238 4
11.427346 3
11.433453 5
11.439561 4
11.445669 1
11.451776 5
11.457884 4
11.463991 2
11.470099 3
11.476207 3
11.482314 5
11.488422 2
11.494530 1
11.500637 7
